Abbreviation	Name
MNMTNJ	Monmouth-New Jersey
MONTAN	Montana
MONTST	Montana State
MORGST	Morgan State
MURRAY	Murray State
MVLST	Mississippi Valley State
NALA	North Alabama
N.ARIZ	Northern Arizona
NAVY	Navy
NCA&T	North Carolina A&T
NCCENT	North Carolina Central
N.COL	Northern Colorado
NCSU	North Carolina State
N.DAKST	North Dakota State
NDKOTA	North Dakota
NDAK	North Dakota
NEB	Nebraska
NEBR	Nebraska
NEV	Nevada
NEVADA	Nevada
NEWMEX	New Mexico
NMEX	New Mexico
NH	New Hampshire
NICHOLL	Nicholls State
N.IOWA	Northern Iowa
NIU	Northern Ill.
NMHIGH	New Mexico Highlands
NMSU	New Mexico State
NMEXST	New Mexico State
NORF	Norfolk State
ND	Notre Dame
NOTRD	Notre Dame
NTEXAS	North Texas
UNT	North Texas
NWEST	Northwestern
NWESTN	Northwestern
NW.ST	Northwestern State
OHIO	Ohio
OHIOST	Ohio State
OSU	Ohio State
OKLA	Oklahoma
OU	Oklahoma
OKLAST	Oklahoma State
OKST	Oklahoma State
OLDDOM	Old Dominion
ODU	Old Dominion
MISS	Mississippi
O-MISS	Mississippi
OREG	Oregon
OREGST	Oregon State
ORGST	Oregon State
PENNST	Penn State
PSU	Penn State
PITT	Pittsburgh
PITTST	Pittsburgh State
PORTST	Portland State
PRESBYT	Presbyterian
PUR	Purdue
PURDUE	Purdue
PVIEW	Prairie View
RHODEI	Rhode Island
RICE	Rice
RICHMO	Richmond
RUT	Rutgers
RUTGER	Rutgers
SAC	Sacramento State
SAC.ST	Sacramento State
S.ALA	South Alabama
SALA	South Alabama
SAM	Samford
SAMFOR	Samford
SAMHOU	Sam Houston State
SAVAST	Savannah State
S.CARO	South Carolina
SCAR	South Carolina
SCSU	South Carolina State
S.DAK	South Dakota State
SDIEGO	San Diego
SDAK	South Dakota
SDKOT	South Dakota
SDMINE	South Dakota Mines
SD.ST	SDSU
SDST	SDSU
SE.LOU	Southeastern Louisiana
SELA	Southeastern Louisiana
SE.MIS	Southeast Missouri State
SEMO	Southeast Missouri State
SFA	Stephen F. Austin
S.ILL	Southern Illinois
SIU	Southern Illinois
SJ.ST	SJSU
SJST	SJSU
S.MISS	Southern Miss.
SMISS	Southern Miss.
SMU	SMU
STAN	Stanford
STANFO	Stanford
STHERN	Southern University
STNYBK	Stony Brook
SUTAH	Southern Utah
SUU	Southern Utah
CUSE	Syracuse
SYRACU	Syracuse
TARLE	Tarleton State
TCU	TCU
TEMP	Temple
TEMPLE	Temple
TENN	Tennessee
TEXAM	Texas A&M
TEXA&M	Texas A&M
TXAMKG	Texas A&M-Kingsville
TEXAS	Texas
TEX.SO	Texas Southern
TEX.ST	Texas State
TXST	Texas State
WTXST	West Texas State
TN.MAR	Tennessee-Martin
TN.ST	Tennessee State
TNTEC	Tennessee Tech
TNTECH	Tennessee Tech
TOL	Toledo
TOLEDO	Toledo
TOWSN	Towson
TROY	Troy
TUL	Tulane
TULANE	Tulane
TULSA	Tulsa
TTECH	Texas Tech
TXTECH	Texas Tech
UAB	UAB
UCF	UCF
UCLA	UCLA
UCONN	Connecticut
ULL	LA-Lafayette
UL.LAF	LA-Lafayette
UL.MON	LA-Monroe
ULM	LA-Monroe
UNC	North Carolina
UNLV	UNLV
USC	USC
USF	South Florida
UTAHST	Utah State
UTST	Utah State
UTAH	Utah
UTEP	UTEP
UTSA	UTSA
VANDY	Vanderbilt
VILLAN	Villanova
UVA	Virginia
VIRGNA	Virginia
VMI	VMI
VTECH	Virginia Tech
WAGNR	Wagner
WAKE	Wake Forest
WASH	Washington
W.CAR	Western Carolina
WCAR	Western Carolina
WESTCOL	Western Colorado
WEBER	Weber State
WESTV	West Virginia
WVU	West Virginia
W.ILL	Western Illinois
WIS	Wisconsin
WISCSN	Wisconsin
WKU	Western Kentucky
W.MICH	Western Michigan
WMU	Western Michigan
WNEWMX	Western New Mexico
W&M	William & Mary
WOFFOR	Wofford
WAZZU	Washington State
WSHST	Washington State
WYO	Wyoming
WYOM	Wyoming
YALE	Yale
YOUNG	Youngstown State
